"THYAO ","316,5"
"GARAN","127,2"
"AKBNK","65,7"
"MCARD","134,3"
"ORZAX","112,5"
"NETCD","130,8"
"BETAE","88,7"
"ISVEA","50,1"
"EMPAE","62,9"
"BESTE","27,78"
"AAGYO","12,86"
"SVGYO","13,57"
"LXGYO","10,5"
"ATATR","13,86"
"GOLDA","14,57"
"GENKM","10,36"
"SSAAT","35,5"
"METEN","18,57"
"SOHOE","10,52"
"SARAE","80,35"
"AKHAN","41,66"
"ALBTN","26,68"
"MASFN","41,98"
"KARCL","46,56"
